Category,GHG,Region,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
power,NH3,AK,0,6.63E-07,6.07E-05,3.27E-05,7.06E-06,6.52E-06,1.10E-05,2.04E-05,3.16E-05,4.75E-05,6.50E-05,4.95E-05,6.54E-05,7.77E-05,8.15E-05,8.93E-05,9.58E-05,9.62E-05,0.00010396,0.000114986,0.00013311
residential commercial,NH3,AK,0,3.28E-05,0.000294611,0.000369516,0.000345589,0.000326906,0.000310602,0.000263456,0.000223992,0.000185467,0.000154229,0.000120892,0.000122991,0.000126398,0.000126671,0.000125617,0.000124701,0.000126036,0.00013042,0.000135951,0.000142285
transportation,NH3,AK,0.000424182,0.000468628,0.000406704,0.000326496,0.000274407,0.000255401,0.000242464,0.000228459,0.000231322,0.000233243,0.000228604,0.000255582,0.000261223,0.000266871,0.000277344,0.00028428,0.000290778,0.000296668,0.000301048,0.000305288,0.000308008
industry,NMVOC,AK,0.013669128,0.025492123,0.016274458,0.014021438,0.011701364,0.011384462,0.011776799,0.009806965,0.009539456,0.008894271,0.008919685,0.012123042,0.010149583,0.008102526,0.007292575,0.0071034,0.007267468,0.00743526,0.007601819,0.007802696,0.008030532
power,NMVOC,AK,0.000314642,0.00054007,0.000414065,0.000233427,9.70E-05,8.32E-05,9.20E-05,7.36E-05,6.12E-05,4.61E-05,3.37E-05,2.87E-05,9.31E-06,1.13E-05,1.16E-05,1.34E-05,1.54E-05,1.58E-05,2.00E-05,2.24E-05,2.49E-05
residential commercial,NMVOC,AK,0.002103219,0.007330813,0.00083224,0.002314078,0.002196496,0.002130616,0.002127174,0.001757956,0.001436087,0.001094932,0.000811574,0.000522519,0.000508365,0.0005246,0.000528416,0.000530833,0.000533474,0.000550917,0.00059236,0.000624695,0.000635019
transportation,NMVOC,AK,0.027139968,0.009069599,0.007429703,0.006842757,0.00505953,0.004117315,0.00344032,0.00295832,0.002895126,0.002874941,0.002728262,0.003142168,0.003120678,0.003076583,0.003073838,0.003078312,0.003116716,0.003158128,0.00319939,0.00323694,0.00327115
industry,NOx,AK,0.019097412,0.06642372,0.038668341,0.039224425,0.034471956,0.034358229,0.035726496,0.034750099,0.034742961,0.033854773,0.03341758,0.036883152,0.029555187,0.022106687,0.019205603,0.018506347,0.019012965,0.019532485,0.020057929,0.020696316,0.021395589
power,NOx,AK,0.013948792,0.012087228,0.02289939,0.010831001,0.00317697,0.002604468,0.002818732,0.002198846,0.001820264,0.001337244,0.000947331,0.001042754,0.000150543,0.00013895,0.00013235,0.000141816,0.00015171,0.000151937,0.00016521,0.000183323,0.00021137
residential commercial,NOx,AK,0.000368432,0.00524403,0.002036692,0.003718282,0.003625346,0.003413424,0.003279677,0.0026972,0.002196599,0.001666556,0.001386415,0.001281613,0.001311067,0.001360639,0.001395038,0.001414297,0.001426375,0.001445123,0.001480392,0.001513572,0.001539254
transportation,NOx,AK,0.091476447,0.100161664,0.060830383,0.02139353,0.013967455,0.010328613,0.008475461,0.006838362,0.006638013,0.006460845,0.006272867,0.008878383,0.008991969,0.008747248,0.008718902,0.008880332,0.009054678,0.009248347,0.009412058,0.009524104,0.009547894
industry,OC,AK,0.001093194,0.002619457,0.000868616,0.000636178,0.000535017,0.000524087,0.000542188,0.000513158,0.000496159,0.000463959,0.000454699,0.000555859,0.000404384,0.000248727,0.000184385,0.000164772,0.000168925,0.000172384,0.000176736,0.000182565,0.000190449
power,OC,AK,8.13E-05,0.000179303,0.000149272,0.000121467,4.12E-05,3.56E-05,3.89E-05,3.08E-05,2.55E-05,1.90E-05,1.36E-05,1.75E-05,1.24E-05,1.66E-05,1.68E-05,2.09E-05,2.57E-05,2.72E-05,3.87E-05,4.39E-05,4.74E-05
residential commercial,OC,AK,0.001128923,0.001672476,0.000788083,0.008312647,0.007757144,0.007416313,0.007127828,0.005927114,0.004663527,0.003389042,0.002348094,0.001177866,0.001125508,0.001165677,0.001174011,0.001178733,0.001183301,0.001235374,0.001357184,0.001450557,0.001480219
transportation,OC,AK,0.00112589,0.000553542,0.000412705,0.000302379,0.000201236,0.000155409,0.000133956,0.000112575,0.000116119,0.000115313,0.000111627,0.00014362,0.000137593,0.000128727,0.000123752,0.000120405,0.000118867,0.000118743,0.000118677,0.000118343,0.000116811
industry,PM2.5,AK,0.002957106,0.007981184,0.003673215,0.002704546,0.002332366,0.002297513,0.002366959,0.002326231,0.002343373,0.002301937,0.002352026,0.00293355,0.00296732,0.002990586,0.003048047,0.003111717,0.003182413,0.003256898,0.00333088,0.003408236,0.003466008
power,PM2.5,AK,0.000304002,0.000726829,0.000680872,0.000611664,0.000108662,9.15E-05,0.000103372,0.000108958,0.000122609,0.000152777,0.000194095,6.19E-05,1.87E-05,2.38E-05,2.38E-05,2.92E-05,3.57E-05,3.75E-05,5.26E-05,5.96E-05,6.47E-05
residential commercial,PM2.5,AK,0.001757547,0.002833981,0.001364755,0.012230888,0.01142691,0.010931787,0.010511884,0.008629925,0.006789867,0.004933879,0.003420826,0.001725803,0.001650341,0.001708776,0.001721382,0.001729248,0.00173646,0.001811557,0.001988347,0.002123149,0.002165601
transportation,PM2.5,AK,0.00310468,0.00183171,0.00134617,0.000904421,0.000576668,0.000432156,0.000365459,0.000309272,0.000317211,0.000316371,0.000306579,0.000387468,0.000374752,0.000356353,0.00034671,0.000343143,0.000342673,0.000344799,0.000346321,0.000346448,0.000343836
industry,SO2,AK,0.004178893,0.029010579,0.00269562,0.001914996,0.001726861,0.001739134,0.001858576,0.001892518,0.001992445,0.002010281,0.002066774,0.002992514,0.003925479,0.004869134,0.005528188,0.005964383,0.006280967,0.006630974,0.006973993,0.007255304,0.007293198
power,SO2,AK,0.000894222,0.00543666,0.002754983,0.001973383,0.000347765,0.000160204,0.000146986,9.98E-05,8.61E-05,6.39E-05,4.96E-05,0.000155697,6.39E-05,3.74E-05,2.45E-05,2.69E-05,3.27E-05,3.49E-05,5.15E-05,5.87E-05,6.29E-05
residential commercial,SO2,AK,0.000180604,0.005942934,0.002029467,0.001387225,0.001287232,0.001198246,0.001098978,0.000900011,0.000720507,0.000514972,0.000388553,0.000299803,0.000303254,0.000314386,0.000329008,0.000339358,0.000345643,0.000352321,0.000358095,0.000355929,0.000343876
transportation,SO2,AK,0.00467247,0.006836308,0.003873832,0.000476434,0.00042457,0.000396988,0.000388069,0.000358801,0.000371932,0.000365698,0.000350231,0.00044667,0.000433567,0.000413925,0.000404235,0.00039743,0.000393314,0.000394021,0.000393686,0.000392293,0.00038569
industry,BC,AL,0.003284715,0.002055024,0.010896721,0.01182834,0.01172317,0.011828059,0.011851869,0.011398474,0.011664979,0.011050323,0.00985974,0.012741122,0.01186512,0.011508206,0.012752028,0.013930557,0.014337772,0.01464645,0.014775662,0.014549517,0.013715802
power,BC,AL,4.20E-05,0.00027979,5.43E-05,6.57E-05,5.07E-05,4.15E-05,3.64E-05,3.35E-05,3.78E-05,4.10E-05,4.54E-05,1.15E-05,1.50E-05,2.95E-05,1.87E-05,1.99E-05,2.25E-05,2.14E-05,3.83E-05,4.36E-05,3.33E-05
residential commercial,BC,AL,0.000600584,0.000517753,0.000257841,0.000355358,0.000346828,0.000346971,0.000348203,0.000325873,0.000302494,0.000275245,0.000258022,0.000236972,0.000236067,0.000237438,0.000237802,0.000237858,0.000237757,0.000238341,0.000240153,0.00024148,0.000241536
transportation,BC,AL,0.0047158,0.00268421,0.00210317,0.001544504,0.000908054,0.000589843,0.000434567,0.000291494,0.000293279,0.000297918,0.000300534,0.00038654,0.000420348,0.000459025,0.000502959,0.00054041,0.000549781,0.000560609,0.000569964,0.000578628,0.000586083
